"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"O64.1","","OB","Obstructed labor due to breech presentation","Breech Presentation","","2021-05-06",
"O90.3","","OB","Peripartum cardiomyopathy","Cardiomyopathy Peripartum","","2021-05-06",
"O24.419","","OB","Gestational diabetes mellitus in pregnancy, unspecified control","Diabetes Gestational","","2021-05-06",
"O99.324","","OB","Drug use complicating childbirth","Drug Abuse During Pregnancy","","2021-05-06",
"O15.00","","OB","Eclampsia complicating pregnancy, unspecified trimester","Eclampsia","","2021-05-06",
"O00.9","","OB","Ectopic pregnancy, unspecified","Ectopic Pregnancy","","2021-05-06",
"O77.1","","OB","Fetal stress in labor or delivery due to drug administration","Fetal Distress Due to Medications","","2021-05-06",
"O16.9","","OB","Unspecified maternal hypertension, unspecified trimester","Hypertension Maternal","","2021-05-06",
"O63.9","","OB","Long labor, unspecified","Labor Prolonged","","2021-05-06",
"O25.10","","OB","Malnutrition in pregnancy, unspecified trimester","Malnutrition Due to Pregnancy","","2021-05-06",
"O03","","OB","Spontaneous abortion","Miscarriage","","2021-05-06",
"O9A.32","","OB","Physical abuse complicating childbirth","Physical Abuse During Pregnancy","","2021-05-06",
"O44.10","","OB","Complete placenta previa with hemorrhage, unspecified trimester","Placenta Previa w/Hemorrhage","","2021-05-06",
"O44.0","","OB","Complete placenta previa NOS or without hemorrhage","Placenta Previa w/o Hemorrhage","","2021-05-06",
"O48.0","","OB","Post-term pregnancy","Post-term Pregnancy","","2021-05-06",
"O14.00","","OB","Mild to moderate pre-eclampsia, unspecified trimester","Pre-eclampsia mild-mod","","2021-05-06",
"O14.10","","OB","Severe pre-eclampsia, unspecified trimester","Pre-eclampsia Severe","","2021-05-06",
"O60","","OB","Preterm labor","Pre-term Labor","","2021-05-06",
"O42.919","","OB","Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, unspecified trimester","Pre-term Rupture of Membranes (ROM)","","2021-05-06",
"O69.0","","OB","Labor and delivery complicated by prolapse of cord","Prolapsed Cord","","2021-05-06",
"O12.10","","OB","Gestational proteinuria, unspecified trimester","Proteinuria Gestational","","2021-05-06",
"O9A.42","","OB","Sexual abuse complicating childbirth","Sexual Abuse During Pregnancy","","2021-05-06",
"O99.334","","OB","Smoking (tobacco) complicating childbirth","Smoking During Pregnancy","","2021-05-06",
"O26.859","","OB","Spotting complicating pregnancy, unspecified trimester","Spotting","","2021-05-06",
"O20.0","","OB","Threatened abortion","Threatened Miscarriage","","2021-05-06",
"O21.9","","OB","Vomiting of pregnancy, unspecified","Vomiting Due to Pregnancy","","2021-05-06",
"N18.6","","Renal","End stage renal disease","End Stage Renal Disease","","2021-05-06",
"N13.30","","Renal","Unspecified hydronephrosis","Hydronephrosis","","2021-05-06",
"N18.1","","Renal","Chronic kidney disease, stage 1","Kidney Disease (Stage 1)","","2021-05-06",
"N18.2","","Renal","Chronic kidney disease, stage 2 (mild)","Kidney Disease (Stage 2 - mild)","","2021-05-06",
"N18.3","","Renal","Chronic kidney disease, stage 3 (moderate)","Kidney Disease (Stage 3 - Moderate)","","2021-05-06",
"N18.4","","Renal","Chronic kidney disease, stage 4 (severe)","Kidney Disease (Stage 4 - Severe)","","2021-05-06",
"N18.5","","Renal","Chronic kidney disease, stage 5","Kidney Disease (Stage 5)","","2021-05-06",
"N17.9","","Renal","Acute kidney failure, unspecified","Kidney Failure (Acute)","","2021-05-06",
"J80","","Respiratory","Acute respiratory distress syndrome","Acute Resp Distress Syndrome","","2021-05-06",
"J45.30","","Respiratory","Mild persistent asthma, uncomplicated","Asthma (Mild)","","2021-05-06",
"J45.41","","Respiratory","Moderate persistent asthma with (acute) exacerbation","Asthma (Moderate)","","2021-05-06",
"J45.50","","Respiratory","Severe persistent asthma, uncomplicated","Asthma (Severe)","","2021-05-06",
"J45.52","","Respiratory","Severe persistent asthma with status asthmaticus","Asthma (Status Asthmaticus)","","2021-05-06",
"J44.9","","Respiratory","Chronic obstructive pulmonary disease, unspecified","COPD","","2021-05-06",
"J94.2","","Respiratory","Hemothorax","Hemothorax","","2021-05-06",
"J98.9","","Respiratory","Respiratory disorder, unspecified","Other Disorder","","2021-05-06",
"J81.0","","Respiratory","Acute pulmonary edema","Pulmonary Edema (Acute)","","2021-05-06",
"J81.1","","Respiratory","Chronic pulmonary edema","Pulmonary Edema (Chronic)","","2021-05-06",
"B97.4","","Respiratory","Respiratory syncytial virus as the cause of diseases classified elsewhere","RSV","","2021-05-06",
"J12.1","","Respiratory","Respiratory syncytial virus pneumonia","RSV Pneumonia","","2021-05-06",
"B97.21","","Respiratory","SARS-associated coronavirus as the cause of diseases classified elsewhere","SARS","","2021-05-06",
"J93.0","","Respiratory","Spontaneous tension pneumothorax","Spontaneous Pneumothorax","","2021-05-06",
"J95.851","","Respiratory","Ventilator associated pneumonia","Ventilator Related Pneumonia","","2021-05-06",
"L89.90","","Skin","Pressure ulcer of unspecified site, unspecified stage","Skin - Pressure Ulcer","","2021-05-06",
"F10.21","","Substance Abuse","Alcohol dependence, in remission","Alcohol (In remission)","","2021-05-06",
"F10.20","","Substance Abuse","Alcohol dependence, uncomplicated","Alcohol Dependence","","2021-05-06",
"F10.229","","Substance Abuse","Alcohol dependence with intoxication, unspecified","Alcohol Intoxication","","2021-05-06",
"F14.99","","Substance Abuse","Cocaine use, unspecified with unspecified cocaine-induced disorder","Cocaine","","2021-05-06",
"F18.99","","Substance Abuse","Inhalant use, unspecified with unspecified inhalant-induced disorder","Inhalant","","2021-05-06",
"F17.299","","Substance Abuse","Nicotine dependence, other tobacco product, with unspecified nicotine-induced disorders","Nicotine Dependence","","2021-05-06",
"F11.19","","Substance Abuse","Opioid abuse with unspecified opioid-induced disorder","Opioid Abuse","","2021-05-06",
"F11.21","","Substance Abuse","Opioid dependence, in remission","Opioid Dependence (In Remission)","","2021-05-06",
"F11.220","","Substance Abuse","Opioid dependence with intoxication, uncomplicated","Opioid Dependence w/Intoxication","","2021-05-06",
"F13.99","","Substance Abuse","Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder","Sedative, Hypnotic, Anxiolytic","","2021-05-06",
"I82.91","","Vascular","Chronic embolism and thrombosis of unspecified vein","Embolism/Thrombosis Vein","","2021-05-06",
"I80.9","","Vascular","Phlebitis and thrombophlebitis of unspecified site","Phlebitis/Thrombophlebitis","","2021-05-06",
"I83.819","","Vascular","Varicose veins of unspecified lower extremity with pain","Varicose Vein(s)","","2021-05-06",
"I87.9","","Vascular","Disorder of vein, unspecified","Vein Disorder Other","","2021-05-06",
"B97.29","","Infectious","Other coronavirus as the cause of disease classified elsewhere","Coronavirus","","2023-02-14",
"A49.2","","Infectious","Hemophilus influenzae infection, unspecified site","Influenza","","2023-02-14",
"J12.82","","Respiratory","Pneumonia due to coronavirus disease 2019","Pneumonia due to Coronavirus","","2023-02-14",
